task_length,cpu_cores_needed,memory_needed(MB),network_bandwidth_needed(Mbps),priority,vm_id,arrival_time
574,7,1311,118,2,VM4,689
479,4,819,86,1,VM2,732
597,1,1099,106,1,VM1,878
728,3,584,50,2,VM4,1395
464,5,885,119,1,VM4,2441
464,3,1104,84,1,VM4,2623
736,3,869,72,2,VM4,2835
615,6,1093,93,2,VM1,3090
429,1,1020,88,2,VM2,3898
581,6,1161,121,1,VM4,4484
430,1,915,91,1,VM1,4540
430,7,783,127,3,VM2,4712
536,7,1402,106,3,VM4,4899
213,1,897,117,2,VM2,5366
241,2,1192,99,3,VM2,5643
415,4,1391,125,1,VM1,5962
348,2,1065,76,3,VM2,7858
547,4,804,102,1,VM1,7881
363,6,978,92,2,VM4,7957
288,4,1284,127,2,VM2,8114
719,6,1076,129,1,VM2,8242
466,7,715,100,3,VM3,8249
510,3,1176,74,2,VM4,8278
286,7,1221,108,2,VM4,8620
418,7,933,66,3,VM3,9255
516,3,1180,132,3,VM3,9471
327,4,1086,90,1,VM1,9704
556,4,973,99,3,VM1,9792
409,6,692,86,3,VM2,10230
456,2,1299,81,3,VM2,10648
409,6,1218,114,1,VM2,10915
777,2,1173,96,1,VM2,10986
497,7,1419,100,2,VM1,11017
341,3,1265,79,1,VM4,11037
623,7,1199,117,2,VM2,11306
316,1,457,119,3,VM4,11829
531,4,1330,95,2,VM2,12416
206,2,1045,125,2,VM3,12603
300,6,1103,97,3,VM2,13063
529,3,1105,115,2,VM2,13943
610,2,1222,67,1,VM2,14040
525,6,1311,107,1,VM1,14192
482,4,1186,94,1,VM3,14996
454,7,1145,103,1,VM2,15120
278,4,1083,102,2,VM2,15856
392,5,165,102,2,VM4,17045
430,1,950,112,3,VM3,17371
658,5,782,88,2,VM2,17880
551,3,1333,111,2,VM4,18295
235,2,1182,124,2,VM4,18656
548,3,906,71,3,VM1,18766
442,7,932,84,1,VM4,18784
398,6,923,85,2,VM2,18910
591,4,918,78,3,VM1,19239
